Name,Ward,Party,Sex
Steven Carter,Asfordby,IND,M
Ronnie de Burle,Asfordby,CON,M
Mal Sheldon,Asfordby,CON,M
Pru Chandler,Bottesford,CON,F
Donald Pritchett,Bottesford,IND,M
Alan Hewson,Croxton Kerrial,IND,M
Mike Hollingworth,Croxton Kerrial,CON,M
Ronan Browne,Frisby-on-the-Wreake,CON,M
Robert Child,Gaddesby,CON,M
Pam Baguley,Long Clawson and Stathern,CON,F
Christopher Evans,Long Clawson and Stathern,-,M
Mel Steadman,Long Clawson and Stathern,CON,
Jeanne Douglas,Melton Craven,CON,F
Marilyn Gordon,Melton Craven,IND,F
Rob Bindloss,Melton Craven,CON,M
Frank Duckworth,Melton Craven,IND,M
Mark Frisby,Melton Craven,IND,M
David Ogden,Melton Craven,LAB,M
Pat Cumbers,Melton Dorian,CON,F
Alan Pearson,Melton Dorian,CON,M
Philip Wood,Melton Dorian,GRN,M
John Wyatt,Melton Dorian,CON,M
Sue Karran,Melton Egerton,LAB,F
Amanda Reeves,Melton Egerton,GRN,F
Rebecca Smedley,Melton Egerton,CON,F
Mike Brown,Melton Egerton,LAB,M
Peter Faulkner,Melton Egerton,CON,M
John Reeves,Melton Egerton,GRN,M
Margaret Glancy,Melton Newport,CON,F
Pam Posnett,Melton Newport,CON,F
Simon Lumley,Melton Newport,CON,M
Alastair McQuillan,Melton Newport,GRN,M
John Scutter,Melton Newport,UKIP,M
Rosie Johnson,Melton Sysonby,GRN,F
Tej Bains,Melton Sysonby,CON,M
John Illingworth,Melton Sysonby,CON,M
Peter Karran,Melton Sysonby,LAB,M
Jacob Wilkinson,Melton Sysonby,CON,M
Caroline Arkless,Melton Warwick,GRN,F
Alison Freer-Jones,Melton Warwick,CON,F
Chris Fisher,Melton Warwick,CON,M
Tim Litt,Melton Warwick,LAB,M
Joe Orson,Old Dalby,CON,M
Kim Lee,Old Dalby,GRN,
Leigh Higgins,Somerby,CON,M
Hamish McAuley,Somerby,LD,M
Keran Turakhia,Waltham-on-the-Wolds,CON,
Elaine Holmes,Waltham-on-the-Wolds,IND,F
Malise Graham,Wymondham,CON,M
