Name,Ward,Party,Sex
Pam Baguley ,Long Clawson & Stathern,Con,F
Jeanne Douglas ,Melton Craven,Con,F
Marilyn Gordon ,Melton Craven,Ind,F
Pat Cumbers ,Melton Dorian,Con,F
Sue Karran,Melton Egerton,Lab,F
Amanda Reeves ,Melton Egerton,Grn,F
Rebecca Smedley,Melton Egerton,Con,F
Margaret Glancy ,Melton Newport,Con,F
Pam Posnett ,Melton Newport,Con,F
Rosie Johnson,Melton Sysonby,Grn,F
Caroline Arkless ,Melton Warwick,Grn,F
Alison Freer-Jones,Melton Warwick,Con,F
Elaine Holmes,Waltham on the Wolds,Ind,F
Pru Chandler,Bottesford,Con,F
Steven Carter ,Asfordby,Ind,M
Ronnie de Burle ,Asfordby,Con,M
Donald Pritchett,Bottesford,Ind,M
Alan Hewson,Croxton Kerrial,Ind,M
Mike Hollingworth,Croxton Kerrial,Con,M
Ronan Browne,Frisby on the Wreake,Con,M
Robert Child,Gaddesby,Con,M
Christopher Evans ,Long Clawson & Stathern,,M
Rob Bindloss ,Melton Craven,Con,M
Frank Duckworth ,Melton Craven,Ind,M
Mark Frisby,Melton Craven,Ind,M
David Ogden,Melton Craven,Lab,M
Alan Pearson ,Melton Dorian,Con,M
Philip Wood ,Melton Dorian,Grn,M
John Wyatt,Melton Dorian,Con,M
Mike Brown ,Melton Egerton,Lab,M
Peter Faulkner ,Melton Egerton,Con,M
John Reeves,Melton Egerton,Grn,M
Simon Lumley ,Melton Newport,Con,M
Alastair McQuillan ,Melton Newport,Grn,M
John Scutter,Melton Newport,UKIP,M
Tej Bains,Melton Sysonby,Con,M
John Illingworth,Melton Sysonby,Con,M
Peter Karran,Melton Sysonby,Lab,M
Jacob Wilkinson,Melton Sysonby,Con,M
Chris Fisher,Melton Warwick,Con,M
Tim Litt,Melton Warwick,Lab,M
Joe Orson,Old Dalby,Con,M
Leigh Higgins,Somerby,Con,M
Hamish McAuley,Somerby,LD,M
Malise Graham,Wymondham,Con,M
Mal Sheldon,Asfordby,Con,M
Mel Steadman,Long Clawson & Stathern,Con,
Kim Lee,Old Dalby,Grn,
Keran Turakhia,Waltham on the Wolds,Con,
